skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Guttannen,,Guttannen,0.5,0.5,0.0,0.0,1057,1150,93,1,,,nan,46.65576171875,8.291236877441406
Täsch,,Täsch,0.5,0.5,0.0,0.0,1450,1500,50,1,,,nan,46.059261322021484,7.809818744659424
Rüegsau,,Rüegsau,0.5,0.5,0.0,0.0,590,650,60,1,,,nan,47.01717758178711,7.657235622406006
LiFu,Val Müstair,Val Müstair,0.3,0.3,0.0,0.0,1611,1640,29,1,10.0,11.0,2.0,46.60110855102539,10.41862678527832
Bottenwil,Bottenwil,Bottenwil,0.3,0.3,0.0,0.0,600,630,30,1,10.0,11.0,2.0,47.28184127807617,8.00417423248291
Les Haudères,Les Haudères,Les Haudères,0.1,0.1,0.0,0.0,1450,1455,5,1,5.0,5.0,2.0,46.08589172363281,7.49174165725708
Mottalift,Serneus,Serneus,0.4,0.4,0.0,0.0,999,1014,15,1,15.0,16.0,2.0,46.893089294433594,9.844528198242188
Oberwald,,Oberwald,0.2,0.2,0.0,0.0,1373,1404,31,1,7.0,7.0,2.0,47.0165901184082,8.089827537536621
Lommiswil,Lommiswil,Lommiswil,0.2,0.2,0.0,0.0,620,680,60,1,16.0,17.0,2.0,47.218963623046875,7.473718643188477
Rossa,,Rossa,0.4,0.4,0.0,0.0,1100,1150,50,2,15.0,16.0,2.0,46.200897216796875,8.671957015991211
Lucky,Aeschi,Aeschi,0.2,0.2,0.0,0.0,860,890,30,1,15.0,16.0,2.0,46.94929122924805,8.263134956359863
Schlösslihang,St. Gallen,St. Gallen,0.3,0.3,0.0,0.0,660,690,30,1,16.0,17.0,2.0,47.41083908081055,9.363511085510254
Nollen,Hosenruck,Hosenruck,0.3,0.3,0.0,0.0,687,725,38,1,15.0,16.0,2.0,47.489994049072266,9.122780799865723
Asp,,Asp,0.3,0.3,0.0,0.0,575,650,75,1,10.0,11.0,2.0,47.295753479003906,8.706899642944336
Wildberg,Wildberg,Wildberg,0.2,0.2,0.0,0.0,685,710,25,1,15.0,16.0,2.0,47.14365005493164,7.904281139373779
Randa,,Randa,0.2,0.2,0.0,0.0,1421,1435,14,1,8.0,9.0,2.0,46.100341796875,7.782547473907471
Stich,Opfertshofen,Opfertshofen,0.3,0.3,0.0,0.0,600,665,65,1,10.0,11.0,2.0,47.768455505371094,8.6593017578125
Egg,Hallau,Hallau,0.2,0.2,0.0,0.0,520,560,40,1,10.0,11.0,2.0,47.697479248046875,8.465217590332031
Saxeten,Saxeten,Saxeten,0.2,0.2,0.0,0.0,1162,1189,27,1,8.0,9.0,2.0,46.63526916503906,7.833619117736816
Blatten,Speicher,Speicher,0.3,0.3,0.0,0.0,900,935,35,1,12.0,13.0,2.0,47.40765380859375,9.442896842956543
Mugi,Netstal,Netstal,0.4,0.4,0.0,0.0,460,550,90,2,10.0,11.0,2.0,47.06930160522461,9.07043170928955
Sitzberg,Fischingen,Fischingen,0.2,0.0,0.2,0.0,770,800,30,1,7.5,8.0,2.0,47.414459228515625,8.967148780822754
Dietikon,,Dietikon,0.2,0.2,0.0,0.0,460,490,30,1,8.0,9.0,2.0,47.40451431274414,8.402215957641602
Norro-Lift,Adelboden,Adelboden,0.2,0.2,0.0,0.0,1305,1332,27,1,15.0,16.0,2.0,47.06343460083008,8.622342109680176
Goldiwil,Multenegg,Multenegg,0.2,0.2,0.0,0.0,1100,1120,20,1,5.0,5.0,2.0,46.75998306274414,7.6932830810546875
