skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Evolène,,Evolène,42.0,15.5,10.6,15.9,1404,2632,1228,5,48.0,51.0,3.1,46.113075256347656,7.4971394538879395,VS
Braunwald,,Braunwald,28.5,8.5,18.0,2.0,1236,1901,665,10,54.0,58.0,3.1,46.953277587890625,8.979976654052734,GL
Pesciüm,Airolo,Airolo,30.0,1.0,15.0,14.0,1175,2250,1075,8,,,3.1,46.52952194213867,8.603241920471191,TI
Nax,Mont-Noble,Mont-Noble,35.0,15.0,20.0,0.0,1495,2640,1145,6,53.0,57.0,3.0,46.22235870361328,7.436079025268555,VS
Kaiseregg,Schwarzsee,Schwarzsee,20.0,10.5,6.5,3.0,1047,1751,704,6,46.0,49.0,3.0,45.99104309082031,7.710203647613525,VS
Moléson,,Moléson,30.0,19.0,4.0,7.0,1109,1978,869,6,42.0,45.0,3.0,46.55396270751953,7.030523300170898,FR
La Braye,Château d'Oex,Château d'Oex,18.5,10.5,0.0,8.0,1215,1630,415,7,,,3.0,46.47412872314453,7.130315780639648,VD
Brambrüesch,Chur,Chur,20.0,8.0,8.0,4.0,1170,2174,1004,5,45.0,48.0,,46.864017486572266,9.535412788391113,GR
Jaun,,Jaun,20.0,9.0,9.0,2.0,1023,1571,548,4,44.0,47.0,,46.6102294921875,7.288549423217773,FR
Giw,Visperterminen,Visperterminen,20.5,3.5,12.5,4.5,1381,2309,928,5,49.0,52.0,3.0,46.2725830078125,7.893075466156006,VS
La Dôle,,La Dôle,28.6,17.5,8.7,2.4,1160,1678,518,21,40.0,42.8,3.0,46.521453857421875,6.645035266876221,VD
Oeschinensee,Kandersteg,Kandersteg,13.0,4.1,8.9,0.0,1200,1730,530,6,40.0,43.0,2.9,46.50904083251953,7.6771931648254395,BE
Arolla,,Arolla,47.0,20.0,18.0,9.0,1984,2877,893,5,48.0,51.0,2.9,46.026039123535156,7.481295108795166,VS
Darlux,Bergün,Bergün,20.0,4.0,15.0,1.0,1384,2569,1185,3,45.0,48.0,2.9,46.63146209716797,9.744026184082031,GR
Wispile,Gstaad,Gstaad,8.9,3.6,3.7,1.6,1043,1939,896,5,84.0,90.0,2.9,46.483219146728516,7.274813652038574,BE
Unterbäch,Brandalp,Brandalp,19.0,10.0,6.0,3.0,1230,2443,1213,7,49.0,52.0,2.9,47.04842758178711,9.124449729919434,GL
